Video Time (hh:min:sec.millis),Face Id,Face name,Frame index,Angry,Contempt,Disgust,Fear,Happy,Neutral,Sad,Surprise,Dominant Emotion,Arousal,Valence,Intensity
00:00:05:666,1,Face 1,168,0.0001,0.0006,0.0000,0.0000,0.9990,0.0001,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:05:700,1,Face 1,169,0.0001,0.0007,0.0001,0.0000,0.9984,0.0003,0.0001,0.0003,happy,0.00,0.01,0.01
00:00:05:734,1,Face 1,170,0.0000,0.0007,0.0001,0.0000,0.9988,0.0001,0.0000,0.0003,happy,0.00,0.01,0.01
00:00:05:767,1,Face 1,171,0.0001,0.0002,0.0000,0.0000,0.9995,0.0000,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:05:801,1,Face 1,172,0.0001,0.0003,0.0001,0.0000,0.9992,0.0000,0.0000,0.0003,happy,0.00,0.01,0.01
00:00:05:835,1,Face 1,173,0.0002,0.0005,0.0001,0.0000,0.9987,0.0001,0.0000,0.0005,happy,0.00,0.01,0.01
00:00:05:869,1,Face 1,174,0.0001,0.0001,0.0000,0.0000,0.9993,0.0000,0.0000,0.0004,happy,0.00,0.01,0.01
00:00:05:902,1,Face 1,175,0.0000,0.0004,0.0000,0.0000,0.9994,0.0000,0.0000,0.0001,happy,0.00,0.01,0.01
00:00:05:936,1,Face 1,176,0.0000,0.0010,0.0000,0.0000,0.9987,0.0000,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:05:970,1,Face 1,177,0.0002,0.0030,0.0002,0.0000,0.9958,0.0006,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:06:003,1,Face 1,178,0.0001,0.0100,0.0002,0.0000,0.9885,0.0010,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:06:037,1,Face 1,179,0.0004,0.0112,0.0002,0.0000,0.9857,0.0019,0.0001,0.0005,happy,0.00,0.01,0.01
00:00:06:071,1,Face 1,180,0.0005,0.0013,0.0004,0.0000,0.9954,0.0018,0.0001,0.0004,happy,0.00,0.01,0.01
00:00:06:105,1,Face 1,181,0.0002,0.0081,0.0002,0.0000,0.9892,0.0017,0.0002,0.0004,happy,0.00,0.01,0.01
00:00:06:138,1,Face 1,182,0.0004,0.0114,0.0005,0.0000,0.9835,0.0035,0.0002,0.0005,happy,0.00,0.01,0.01
00:00:06:172,1,Face 1,183,0.0001,0.0033,0.0001,0.0000,0.9956,0.0005,0.0000,0.0003,happy,0.00,0.01,0.01
00:00:06:206,1,Face 1,184,0.0004,0.0031,0.0003,0.0001,0.9946,0.0007,0.0001,0.0008,happy,0.00,0.01,0.01
00:00:06:240,1,Face 1,185,0.0012,0.0050,0.0004,0.0001,0.9879,0.0038,0.0002,0.0014,happy,0.00,0.01,0.01
00:00:06:273,1,Face 1,186,0.0017,0.0096,0.0007,0.0001,0.9815,0.0045,0.0003,0.0016,happy,0.00,0.01,0.01
00:00:06:307,1,Face 1,187,0.0004,0.0046,0.0005,0.0000,0.9909,0.0023,0.0001,0.0011,happy,0.00,0.01,0.01
00:00:06:341,1,Face 1,188,0.0005,0.0025,0.0005,0.0000,0.9928,0.0018,0.0001,0.0019,happy,0.00,0.01,0.01
00:00:06:374,1,Face 1,189,0.0002,0.0010,0.0001,0.0000,0.9952,0.0008,0.0000,0.0027,happy,0.00,0.01,0.01
00:00:06:408,1,Face 1,190,0.0002,0.0026,0.0002,0.0000,0.9936,0.0010,0.0000,0.0024,happy,0.00,0.01,0.01
00:00:06:442,1,Face 1,191,0.0001,0.0030,0.0002,0.0000,0.9947,0.0002,0.0000,0.0018,happy,0.00,0.01,0.01
00:00:06:476,1,Face 1,192,0.0002,0.0053,0.0003,0.0000,0.9892,0.0027,0.0001,0.0023,happy,0.00,0.01,0.01
00:00:06:509,1,Face 1,193,0.0005,0.0197,0.0014,0.0001,0.9575,0.0121,0.0006,0.0080,happy,0.00,0.01,0.01
00:00:06:543,1,Face 1,194,0.0093,0.0972,0.0019,0.0005,0.5194,0.3409,0.0202,0.0106,happy,0.00,0.00,0.00
00:00:06:577,1,Face 1,195,0.0288,0.1077,0.0042,0.0013,0.1376,0.6515,0.0575,0.0115,neutral,0.00,-0.00,0.00
00:00:06:611,1,Face 1,196,0.0127,0.1291,0.0062,0.0010,0.4020,0.4067,0.0247,0.0176,neutral,0.00,0.00,0.00
00:00:06:644,1,Face 1,197,0.0214,0.0783,0.0158,0.0081,0.2743,0.4899,0.0660,0.0461,neutral,0.00,0.00,0.00
00:00:06:678,1,Face 1,198,0.0411,0.0736,0.0169,0.0034,0.3393,0.4592,0.0286,0.0379,neutral,0.00,0.00,0.00
00:00:06:712,1,Face 1,199,0.0107,0.0573,0.0115,0.0009,0.7504,0.1140,0.0069,0.0483,happy,0.00,0.01,0.01
00:00:06:745,1,Face 1,200,0.0029,0.0411,0.0082,0.0003,0.9076,0.0257,0.0014,0.0128,happy,0.00,0.01,0.01
00:00:06:779,1,Face 1,201,0.0007,0.0189,0.0012,0.0000,0.9604,0.0077,0.0002,0.0109,happy,0.00,0.01,0.01
00:00:06:813,1,Face 1,202,0.0019,0.0260,0.0088,0.0001,0.9268,0.0248,0.0013,0.0102,happy,0.00,0.01,0.01
00:00:06:847,1,Face 1,203,0.0016,0.0190,0.0089,0.0002,0.8937,0.0605,0.0037,0.0124,happy,0.00,0.01,0.01
00:00:06:880,1,Face 1,204,0.0024,0.0122,0.0038,0.0002,0.9471,0.0215,0.0007,0.0121,happy,0.00,0.01,0.01
00:00:06:914,1,Face 1,205,0.0010,0.0114,0.0012,0.0001,0.9683,0.0065,0.0002,0.0112,happy,0.00,0.01,0.01
00:00:06:948,1,Face 1,206,0.0018,0.0107,0.0023,0.0002,0.9072,0.0696,0.0004,0.0077,happy,0.00,0.01,0.01
00:00:06:982,1,Face 1,207,0.0008,0.0025,0.0004,0.0000,0.9795,0.0138,0.0001,0.0030,happy,0.00,0.01,0.01
00:00:07:015,1,Face 1,208,0.0016,0.0035,0.0016,0.0001,0.9616,0.0246,0.0002,0.0067,happy,0.00,0.01,0.01
00:00:07:049,1,Face 1,209,0.0004,0.0012,0.0003,0.0000,0.9858,0.0041,0.0000,0.0081,happy,0.00,0.01,0.01
00:00:07:083,1,Face 1,210,0.0009,0.0048,0.0007,0.0002,0.9844,0.0021,0.0001,0.0069,happy,0.00,0.01,0.01
00:00:07:117,1,Face 1,211,0.0011,0.0035,0.0013,0.0004,0.9692,0.0123,0.0003,0.0120,happy,0.00,0.01,0.01
00:00:07:150,1,Face 1,212,0.0005,0.0049,0.0006,0.0001,0.9879,0.0020,0.0000,0.0041,happy,0.00,0.01,0.01
00:00:07:184,1,Face 1,213,0.0012,0.0092,0.0014,0.0004,0.9654,0.0103,0.0001,0.0120,happy,0.00,0.01,0.01
00:00:07:218,1,Face 1,214,0.0005,0.0058,0.0008,0.0007,0.9588,0.0180,0.0002,0.0152,happy,0.00,0.01,0.01
00:00:07:251,1,Face 1,215,0.0002,0.0035,0.0007,0.0008,0.9658,0.0056,0.0001,0.0233,happy,0.00,0.01,0.01
00:00:07:285,1,Face 1,216,0.0002,0.0059,0.0010,0.0003,0.9787,0.0039,0.0001,0.0100,happy,0.00,0.01,0.01
00:00:07:319,1,Face 1,217,0.0004,0.0063,0.0018,0.0009,0.9577,0.0173,0.0002,0.0154,happy,0.00,0.01,0.01
00:00:07:353,1,Face 1,218,0.0016,0.0330,0.0051,0.0014,0.8908,0.0516,0.0005,0.0160,happy,0.00,0.01,0.01
00:00:07:386,1,Face 1,219,0.0041,0.0728,0.0048,0.0032,0.7136,0.1614,0.0035,0.0367,happy,0.00,0.01,0.01
00:00:07:454,1,Face 1,221,0.0136,0.0653,0.0117,0.0031,0.5742,0.2562,0.0138,0.0621,happy,0.00,0.00,0.01
00:00:07:488,1,Face 1,222,0.0068,0.0132,0.0026,0.0012,0.1787,0.7297,0.0452,0.0226,neutral,0.00,0.00,0.00
00:00:07:521,1,Face 1,223,0.0146,0.0102,0.0024,0.0047,0.0772,0.8114,0.0482,0.0314,neutral,0.00,0.00,0.00
00:00:07:555,1,Face 1,224,0.0107,0.0177,0.0021,0.0026,0.0763,0.8449,0.0240,0.0217,neutral,0.00,0.00,0.00
00:00:07:589,1,Face 1,225,0.0139,0.0185,0.0055,0.0094,0.1224,0.7040,0.0159,0.1104,neutral,0.00,0.00,0.00
00:00:07:622,1,Face 1,226,0.0079,0.0149,0.0036,0.0213,0.1809,0.5917,0.0281,0.1516,neutral,0.00,0.00,0.00
00:00:07:656,1,Face 1,227,0.0090,0.0116,0.0047,0.0208,0.1502,0.6134,0.0205,0.1698,neutral,0.00,0.00,0.00
00:00:07:690,1,Face 1,228,0.0193,0.0133,0.0043,0.0129,0.0608,0.7320,0.0295,0.1280,neutral,0.00,0.00,0.00
00:00:07:724,1,Face 1,229,0.0280,0.0122,0.0056,0.0165,0.0260,0.7449,0.0392,0.1276,neutral,0.00,-0.00,0.00
00:00:07:757,1,Face 1,230,0.0264,0.0250,0.0090,0.0299,0.1022,0.6098,0.0578,0.1399,neutral,0.00,0.00,0.00
00:00:07:791,1,Face 1,231,0.0172,0.0043,0.0037,0.0356,0.0147,0.6987,0.0575,0.1683,neutral,0.00,-0.00,0.00
00:00:07:825,1,Face 1,232,0.0212,0.0252,0.0081,0.0175,0.1330,0.6400,0.0567,0.0982,neutral,0.00,0.00,0.00
00:00:07:859,1,Face 1,233,0.0290,0.0102,0.0137,0.0433,0.0184,0.6532,0.1325,0.0997,neutral,0.00,-0.00,0.00
00:00:07:892,1,Face 1,234,0.0299,0.0203,0.0091,0.0141,0.0306,0.7323,0.0838,0.0799,neutral,0.00,-0.00,0.00
00:00:07:926,1,Face 1,235,0.0196,0.0247,0.0050,0.0092,0.0540,0.8120,0.0339,0.0416,neutral,0.00,-0.00,0.00
00:00:07:960,1,Face 1,236,0.0212,0.0308,0.0074,0.0065,0.0612,0.7792,0.0373,0.0564,neutral,0.00,-0.00,0.00
00:00:07:993,1,Face 1,237,0.0135,0.0273,0.0021,0.0029,0.0211,0.8581,0.0558,0.0193,neutral,-0.00,-0.00,0.00
00:00:08:027,1,Face 1,238,0.0128,0.0224,0.0028,0.0037,0.0224,0.8351,0.0662,0.0347,neutral,0.00,-0.00,0.00
00:00:08:061,1,Face 1,239,0.0116,0.0141,0.0026,0.0036,0.0275,0.8468,0.0719,0.0219,neutral,-0.00,-0.00,0.00
00:00:08:095,1,Face 1,240,0.0192,0.0372,0.0061,0.0084,0.0577,0.7535,0.0746,0.0433,neutral,0.00,-0.00,0.00
00:00:08:128,1,Face 1,241,0.0120,0.0197,0.0015,0.0025,0.0525,0.8206,0.0757,0.0155,neutral,-0.00,-0.00,0.00
00:00:08:162,1,Face 1,242,0.0124,0.0414,0.0056,0.0034,0.1154,0.7278,0.0591,0.0349,neutral,0.00,0.00,0.00
00:00:08:196,1,Face 1,243,0.0163,0.0252,0.0045,0.0023,0.0302,0.7865,0.1159,0.0192,neutral,-0.00,-0.00,0.00
00:00:08:230,1,Face 1,244,0.0053,0.0227,0.0008,0.0009,0.0686,0.7982,0.0910,0.0126,neutral,-0.00,-0.00,0.00
00:00:08:263,1,Face 1,245,0.0078,0.0104,0.0009,0.0010,0.0590,0.8544,0.0490,0.0175,neutral,0.00,0.00,0.00
00:00:08:297,1,Face 1,246,0.0052,0.0181,0.0012,0.0010,0.1289,0.7849,0.0419,0.0188,neutral,0.00,0.00,0.00
00:00:08:331,1,Face 1,247,0.0064,0.0253,0.0018,0.0007,0.2104,0.7071,0.0339,0.0144,neutral,0.00,0.00,0.00
00:00:08:365,1,Face 1,248,0.0045,0.0290,0.0011,0.0008,0.3402,0.5544,0.0413,0.0286,neutral,0.00,0.00,0.00
00:00:08:398,1,Face 1,249,0.0104,0.0459,0.0021,0.0010,0.2219,0.6441,0.0470,0.0275,neutral,0.00,0.00,0.00
00:00:08:432,1,Face 1,250,0.0092,0.0380,0.0030,0.0018,0.3635,0.4964,0.0458,0.0422,neutral,0.00,0.00,0.00
00:00:08:466,1,Face 1,251,0.0197,0.0251,0.0031,0.0021,0.1130,0.7217,0.0803,0.0350,neutral,0.00,0.00,0.00
00:00:08:499,1,Face 1,252,0.0165,0.0820,0.0035,0.0029,0.1889,0.6136,0.0581,0.0346,neutral,0.00,0.00,0.00
00:00:08:533,1,Face 1,253,0.0140,0.0281,0.0013,0.0031,0.0289,0.8102,0.0830,0.0314,neutral,-0.00,-0.00,0.00
00:00:08:567,1,Face 1,254,0.0286,0.0703,0.0035,0.0054,0.0509,0.7347,0.0688,0.0378,neutral,0.00,-0.00,0.00
00:00:08:601,1,Face 1,255,0.0273,0.0322,0.0034,0.0050,0.0188,0.8471,0.0374,0.0289,neutral,0.00,-0.00,0.00
00:00:08:634,1,Face 1,256,0.0176,0.0354,0.0074,0.0113,0.0560,0.7762,0.0543,0.0418,neutral,0.00,-0.00,0.00
00:00:08:668,1,Face 1,257,0.0187,0.0343,0.0040,0.0071,0.0251,0.8322,0.0372,0.0413,neutral,0.00,-0.00,0.00
00:00:08:702,1,Face 1,258,0.0224,0.0256,0.0074,0.0051,0.0283,0.8374,0.0456,0.0281,neutral,0.00,-0.00,0.00
00:00:08:736,1,Face 1,259,0.0205,0.0634,0.0086,0.0132,0.0803,0.7150,0.0415,0.0575,neutral,0.00,-0.00,0.00
00:00:08:769,1,Face 1,260,0.0288,0.0356,0.0092,0.0173,0.1625,0.6600,0.0360,0.0506,neutral,0.00,0.00,0.00
00:00:08:803,1,Face 1,261,0.0161,0.0653,0.0061,0.0050,0.3683,0.4625,0.0257,0.0509,neutral,0.00,0.00,0.00
00:00:08:837,1,Face 1,262,0.0055,0.0233,0.0055,0.0046,0.6029,0.2848,0.0132,0.0601,happy,0.00,0.01,0.01
00:00:08:870,1,Face 1,263,0.0159,0.0346,0.0060,0.0096,0.2106,0.5109,0.0279,0.1844,neutral,0.00,0.00,0.00
00:00:08:904,1,Face 1,264,0.0168,0.0270,0.0076,0.0078,0.1410,0.6280,0.0301,0.1417,neutral,0.00,0.00,0.00
00:00:08:938,1,Face 1,265,0.0153,0.0125,0.0049,0.0127,0.0414,0.8054,0.0334,0.0745,neutral,0.00,0.00,0.00
00:00:08:972,1,Face 1,266,0.0150,0.0397,0.0022,0.0037,0.0807,0.8163,0.0215,0.0208,neutral,0.00,0.00,0.00
00:00:09:005,1,Face 1,267,0.0154,0.0233,0.0024,0.0039,0.0222,0.8805,0.0336,0.0188,neutral,0.00,-0.00,0.00
00:00:09:039,1,Face 1,268,0.0153,0.0274,0.0085,0.0075,0.0644,0.8178,0.0343,0.0248,neutral,0.00,-0.00,0.00
00:00:09:073,1,Face 1,269,0.0152,0.0132,0.0073,0.0184,0.0512,0.6262,0.0298,0.2387,neutral,0.00,0.00,0.00
00:00:09:107,1,Face 1,270,0.0149,0.0151,0.0062,0.0158,0.1304,0.5104,0.0356,0.2716,neutral,0.00,0.00,0.00
00:00:09:140,1,Face 1,271,0.0150,0.0358,0.0054,0.0066,0.3047,0.3602,0.0203,0.2521,neutral,0.00,0.00,0.00
00:00:09:174,1,Face 1,272,0.0171,0.0509,0.0085,0.0057,0.4073,0.3499,0.0220,0.1387,happy,0.00,0.00,0.00
00:00:09:208,1,Face 1,273,0.0217,0.0519,0.0125,0.0074,0.1891,0.4835,0.0274,0.2066,neutral,0.00,0.00,0.00
00:00:09:242,1,Face 1,274,0.0093,0.0515,0.0094,0.0042,0.3937,0.3413,0.0155,0.1750,happy,0.00,0.00,0.00
00:00:09:275,1,Face 1,275,0.0177,0.0949,0.0057,0.0038,0.3654,0.3824,0.0231,0.1068,neutral,0.00,0.00,0.00
00:00:09:309,1,Face 1,276,0.0177,0.0754,0.0136,0.0029,0.4091,0.4112,0.0272,0.0429,neutral,0.00,0.00,0.00
00:00:09:343,1,Face 1,277,0.0025,0.0640,0.0033,0.0006,0.7489,0.1563,0.0075,0.0170,happy,0.00,0.01,0.01
00:00:09:376,1,Face 1,278,0.0139,0.0607,0.0065,0.0042,0.3917,0.4502,0.0402,0.0328,neutral,0.00,0.00,0.00
00:00:09:410,1,Face 1,279,0.0112,0.0369,0.0101,0.0059,0.4462,0.4245,0.0406,0.0245,happy,0.00,0.00,0.00
00:00:09:444,1,Face 1,280,0.0233,0.0241,0.0027,0.0026,0.1574,0.6954,0.0877,0.0068,neutral,0.00,0.00,0.00
00:00:09:478,1,Face 1,281,0.0232,0.0472,0.0057,0.0021,0.3266,0.4964,0.0910,0.0078,neutral,0.00,0.00,0.00
00:00:09:511,1,Face 1,282,0.0264,0.1692,0.0091,0.0027,0.3626,0.2899,0.1334,0.0067,happy,0.00,0.00,0.00
00:00:09:545,1,Face 1,283,0.0252,0.0547,0.0197,0.0153,0.2837,0.3693,0.2205,0.0117,neutral,-0.00,0.00,0.00
00:00:09:579,1,Face 1,284,0.0120,0.0941,0.0123,0.0106,0.5587,0.2322,0.0643,0.0158,happy,0.00,0.00,0.00
00:00:09:613,1,Face 1,285,0.0071,0.0584,0.0171,0.0019,0.7688,0.1094,0.0303,0.0070,happy,0.00,0.01,0.01
00:00:09:646,1,Face 1,286,0.0212,0.0919,0.0168,0.0073,0.4108,0.3271,0.1006,0.0243,happy,0.00,0.00,0.00
00:00:09:680,1,Face 1,287,0.0374,0.1572,0.0174,0.0025,0.3851,0.3205,0.0704,0.0095,happy,0.00,0.00,0.00
00:00:09:714,1,Face 1,288,0.0245,0.2148,0.0127,0.0029,0.4709,0.2136,0.0452,0.0155,happy,0.00,0.00,0.00
00:00:09:747,1,Face 1,289,0.0273,0.1224,0.0173,0.0039,0.3645,0.3955,0.0446,0.0246,neutral,0.00,0.00,0.00
00:00:09:781,1,Face 1,290,0.0161,0.0815,0.0309,0.0025,0.6312,0.2044,0.0172,0.0162,happy,0.00,0.00,0.01
00:00:09:815,1,Face 1,291,0.0114,0.0384,0.0305,0.0026,0.7838,0.0986,0.0122,0.0224,happy,0.00,0.01,0.01
00:00:09:849,1,Face 1,292,0.0067,0.0286,0.0253,0.0020,0.8296,0.0710,0.0171,0.0197,happy,0.00,0.01,0.01
00:00:09:882,1,Face 1,293,0.0101,0.0294,0.0265,0.0065,0.6879,0.1482,0.0507,0.0405,happy,0.00,0.01,0.01
00:00:09:916,1,Face 1,294,0.0447,0.1011,0.0207,0.0109,0.3065,0.3851,0.0979,0.0332,neutral,0.00,0.00,0.00
00:00:09:950,1,Face 1,295,0.0332,0.1073,0.0202,0.0110,0.3213,0.4030,0.0753,0.0286,neutral,0.00,0.00,0.00
00:00:09:984,1,Face 1,296,0.0241,0.0968,0.0128,0.0130,0.2160,0.4518,0.1528,0.0326,neutral,0.00,-0.00,0.00
00:00:10:017,1,Face 1,297,0.0373,0.1260,0.0158,0.0124,0.2063,0.4320,0.1312,0.0390,neutral,0.00,-0.00,0.00
00:00:10:051,1,Face 1,298,0.0281,0.0967,0.0241,0.0255,0.3667,0.2582,0.1221,0.0787,happy,0.00,0.00,0.00
00:00:10:085,1,Face 1,299,0.0186,0.0923,0.0399,0.0064,0.6491,0.1130,0.0367,0.0440,happy,0.00,0.00,0.01
00:00:10:118,1,Face 1,300,0.0133,0.1229,0.0211,0.0064,0.6230,0.1248,0.0374,0.0511,happy,0.00,0.00,0.00
00:00:10:152,1,Face 1,301,0.0103,0.0596,0.0129,0.0059,0.6203,0.1741,0.0607,0.0564,happy,0.00,0.00,0.01
00:00:10:186,1,Face 1,302,0.0174,0.1512,0.0222,0.0061,0.4710,0.1984,0.0847,0.0489,happy,0.00,0.00,0.00
00:00:10:220,1,Face 1,303,0.0276,0.1450,0.0149,0.0106,0.4071,0.2520,0.0374,0.1052,happy,0.00,0.00,0.00
00:00:10:253,1,Face 1,304,0.0244,0.2033,0.0316,0.0073,0.3221,0.3167,0.0464,0.0483,happy,0.00,0.00,0.00
00:00:10:287,1,Face 1,305,0.0282,0.2326,0.0215,0.0087,0.3067,0.2742,0.0737,0.0545,happy,0.00,-0.00,0.00
00:00:10:321,1,Face 1,306,0.0090,0.1646,0.0103,0.0024,0.6371,0.1191,0.0326,0.0248,happy,0.00,0.00,0.00
00:00:10:355,1,Face 1,307,0.0075,0.1157,0.0097,0.0026,0.5567,0.2464,0.0270,0.0344,happy,0.00,0.00,0.00
00:00:10:388,1,Face 1,308,0.0261,0.1262,0.0146,0.0078,0.2681,0.4131,0.0812,0.0629,neutral,0.00,0.00,0.00
00:00:10:422,1,Face 1,309,0.0306,0.0851,0.0181,0.0109,0.2714,0.4740,0.0529,0.0569,neutral,0.00,0.00,0.00
00:00:10:456,1,Face 1,310,0.0227,0.0808,0.0125,0.0149,0.3554,0.3427,0.0751,0.0959,happy,0.00,0.00,0.00
00:00:10:490,1,Face 1,311,0.0253,0.0616,0.0092,0.0054,0.4056,0.3753,0.0321,0.0855,happy,0.00,0.00,0.00
00:00:10:523,1,Face 1,312,0.0161,0.0709,0.0063,0.0058,0.4211,0.3883,0.0423,0.0492,happy,0.00,0.00,0.00
00:00:10:557,1,Face 1,313,0.0143,0.0733,0.0049,0.0051,0.6300,0.2110,0.0331,0.0283,happy,0.00,0.00,0.01
00:00:10:591,1,Face 1,314,0.0173,0.0462,0.0047,0.0070,0.5500,0.2987,0.0287,0.0474,happy,0.00,0.00,0.00
00:00:10:624,1,Face 1,315,0.0158,0.0555,0.0028,0.0041,0.1529,0.6892,0.0583,0.0215,neutral,0.00,0.00,0.00
00:00:10:658,1,Face 1,316,0.0096,0.1358,0.0018,0.0012,0.3210,0.4968,0.0203,0.0135,neutral,0.00,0.00,0.00
00:00:10:692,1,Face 1,317,0.0198,0.0841,0.0032,0.0028,0.1914,0.6201,0.0600,0.0185,neutral,0.00,0.00,0.00
00:00:10:726,1,Face 1,318,0.0195,0.0984,0.0029,0.0026,0.2348,0.5959,0.0295,0.0164,neutral,0.00,0.00,0.00
00:00:10:759,1,Face 1,319,0.0185,0.0798,0.0009,0.0006,0.0802,0.7808,0.0338,0.0056,neutral,-0.00,-0.00,0.00
00:00:10:793,1,Face 1,320,0.0135,0.1234,0.0019,0.0011,0.3044,0.5212,0.0180,0.0164,neutral,0.00,0.00,0.00
00:00:10:827,1,Face 1,321,0.0154,0.0492,0.0025,0.0039,0.0994,0.7688,0.0175,0.0432,neutral,0.00,0.00,0.00
00:00:10:861,1,Face 1,322,0.0107,0.1090,0.0026,0.0010,0.5255,0.3265,0.0079,0.0167,happy,0.00,0.00,0.00
00:00:10:894,1,Face 1,323,0.0146,0.1393,0.0028,0.0008,0.3011,0.5035,0.0257,0.0121,neutral,0.00,0.00,0.00
00:00:10:928,1,Face 1,324,0.0100,0.1136,0.0016,0.0010,0.2040,0.6360,0.0213,0.0124,neutral,0.00,0.00,0.00
00:00:10:962,1,Face 1,325,0.0319,0.0677,0.0034,0.0021,0.0742,0.7748,0.0296,0.0163,neutral,0.00,-0.00,0.00
